,Site_id,Lng_site,Lat_site,Lng_spot,Lat_spot,Num
1,1,121.486181,31.270203,121.491043,31.279089,90
2,1,121.486181,31.270203,121.49292,31.266943,19
3,1,121.486181,31.270203,121.486732,31.273441,93
4,1,121.486181,31.270203,121.487427,31.270247,89
5,1,121.486181,31.270203,121.492989,31.272285,77
6,1,121.486181,31.270203,121.480919,31.267042,8
7,1,121.486181,31.270203,121.490929,31.273355,96
8,1,121.486181,31.270203,121.487686,31.267748,78
9,1,121.486181,31.270203,121.488106,31.27755,69
10,1,121.486181,31.270203,121.490814,31.267244,57
11,1,121.486181,31.270203,121.493767,31.26959,52
12,2,121.460203998,31.2718521275,121.457069,31.2645,83
13,2,121.460203998,31.2718521275,121.458504,31.287094,36
14,2,121.460203998,31.2718521275,121.452217,31.289906,18
15,2,121.460203998,31.2718521275,121.461082,31.276169,52
16,2,121.460203998,31.2718521275,121.44783,31.262983,33
17,2,121.460203998,31.2718521275,121.462212,31.257822,54
18,2,121.460203998,31.2718521275,121.447327,31.283365,40
19,2,121.460203998,31.2718521275,121.448051,31.273638,72
20,2,121.460203998,31.2718521275,121.463959,31.274456,54
21,2,121.460203998,31.2718521275,121.456795,31.279455,69
22,2,121.460203998,31.2718521275,121.453857,31.271656,80
23,2,121.460203998,31.2718521275,121.4562,31.255991,86
24,2,121.460203998,31.2718521275,121.463249,31.27964,56
25,2,121.460203998,31.2718521275,121.44706,31.26651,72
26,2,121.460203998,31.2718521275,121.46685,31.280375,62
27,2,121.460203998,31.2718521275,121.464561,31.269255,51
28,2,121.460203998,31.2718521275,121.442017,31.282589,43
29,2,121.460203998,31.2718521275,121.452049,31.266003,72
30,2,121.460203998,31.2718521275,121.460426,31.264576,75
31,2,121.460203998,31.2718521275,121.452629,31.280823,86
32,2,121.460203998,31.2718521275,121.456337,31.294453,15
33,2,121.460203998,31.2718521275,121.452759,31.277855,41
34,2,121.460203998,31.2718521275,121.454826,31.260616,50
35,2,121.460203998,31.2718521275,121.449608,31.270027,39
36,2,121.460203998,31.2718521275,121.458755,31.266987,85
37,2,121.460203998,31.2718521275,121.46331,31.266544,82
38,2,121.460203998,31.2718521275,121.464897,31.264204,71
39,2,121.460203998,31.2718521275,121.456299,31.273598,73
40,2,121.460203998,31.2718521275,121.445572,31.27182,69
