Order_id,Site_id,Lng_site,Lat_site,Lng_spot,Lat_spot,Num
1,1,121.486181,31.270203,121.481796,31.268236,21
2,1,121.486181,31.270203,121.486732,31.27483,39
3,1,121.486181,31.270203,121.49292,31.266943,55
4,1,121.486181,31.270203,121.483459,31.26614,61
5,1,121.486181,31.270203,121.489265,31.26754,61
6,1,121.486181,31.270203,121.49192,31.279324,51
7,1,121.486181,31.270203,121.48838,31.271433,56
8,1,121.486181,31.270203,121.493477,31.270109,53
9,1,121.486181,31.270203,121.485977,31.270231,49
10,1,121.486181,31.270203,121.488586,31.276142,30
11,1,121.486181,31.270203,121.491196,31.274849,58
12,2,121.460204,31.27185213,121.456787,31.280083,85
13,2,121.460204,31.27185213,121.45462,31.257767,60
14,2,121.460204,31.27185213,121.462753,31.273914,85
15,2,121.460204,31.27185213,121.450127,31.265793,41
16,2,121.460204,31.27185213,121.452927,31.274803,53
17,2,121.460204,31.27185213,121.45649,31.266851,47
18,2,121.460204,31.27185213,121.446259,31.283504,94
19,2,121.460204,31.27185213,121.460243,31.261429,23
20,2,121.460204,31.27185213,121.458504,31.287094,21
21,2,121.460204,31.27185213,121.466309,31.284227,24
22,2,121.460204,31.27185213,121.449051,31.274628,65
23,2,121.460204,31.27185213,121.456161,31.260815,38
24,2,121.460204,31.27185213,121.452614,31.288412,61
25,2,121.460204,31.27185213,121.456703,31.273924,23
26,2,121.460204,31.27185213,121.465096,31.27808,59
27,2,121.460204,31.27185213,121.461418,31.265522,45
28,2,121.460204,31.27185213,121.452637,31.269222,45
29,2,121.460204,31.27185213,121.446693,31.266584,72
30,2,121.460204,31.27185213,121.454247,31.254255,32
31,2,121.460204,31.27185213,121.452988,31.271837,35
32,2,121.460204,31.27185213,121.45359,31.28076,54
33,2,121.460204,31.27185213,121.455261,31.291147,40
34,2,121.460204,31.27185213,121.462799,31.258307,53
35,2,121.460204,31.27185213,121.456985,31.264601,56
36,2,121.460204,31.27185213,121.450302,31.283005,54
37,2,121.460204,31.27185213,121.456299,31.271133,36
38,2,121.460204,31.27185213,121.456947,31.25605,53
39,2,121.460204,31.27185213,121.442993,31.272783,23
40,2,121.460204,31.27185213,121.459923,31.272268,44
41,2,121.460204,31.27185213,121.463379,31.282124,39
42,2,121.460204,31.27185213,121.46286,31.269171,59
43,2,121.460204,31.27185213,121.458481,31.256781,38
44,2,121.460204,31.27185213,121.449989,31.26959,78
45,2,121.460204,31.27185213,121.457039,31.282808,31
46,2,121.460204,31.27185213,121.449379,31.260441,40
47,2,121.460204,31.27185213,121.447464,31.271658,56
48,2,121.460204,31.27185213,121.442017,31.282589,21
49,2,121.460204,31.27185213,121.44873,31.279772,27
50,2,121.460204,31.27185213,121.462357,31.286198,34
51,2,121.460204,31.27185213,121.443771,31.28134,20
52,2,121.460204,31.27185213,121.457878,31.263388,40
53,2,121.460204,31.27185213,121.464775,31.263395,44
54,2,121.460204,31.27185213,121.463478,31.261356,17
55,2,121.460204,31.27185213,121.459961,31.279312,30
56,2,121.460204,31.27185213,121.458107,31.259287,69
57,2,121.460204,31.27185213,121.454178,31.260393,46
58,2,121.460204,31.27185213,121.454399,31.277748,27
59,2,121.460204,31.27185213,121.444351,31.270975,38
60,2,121.460204,31.27185213,121.459511,31.282406,41
61,2,121.460204,31.27185213,121.451134,31.257751,64
62,2,121.460204,31.27185213,121.445976,31.28784,42
63,2,121.460204,31.27185213,121.459976,31.289139,18
64,2,121.460204,31.27185213,121.467812,31.287186,18
65,2,121.460204,31.27185213,121.450874,31.279053,21
66,2,121.460204,31.27185213,121.455093,31.268557,27
67,2,121.460204,31.27185213,121.459656,31.268456,65
68,2,121.460204,31.27185213,121.452499,31.266777,50
69,2,121.460204,31.27185213,121.451981,31.259995,48
70,2,121.460204,31.27185213,121.460869,31.258104,30
71,2,121.460204,31.27185213,121.460892,31.27532,34
72,2,121.460204,31.27185213,121.450928,31.273314,58
73,2,121.460204,31.27185213,121.456367,31.253344,38
74,2,121.460204,31.27185213,121.464989,31.272188,64
75,2,121.460204,31.27185213,121.450241,31.262974,39
76,3,121.4269343,31.22042321,121.436653,31.220076,31
77,3,121.4269343,31.22042321,121.445709,31.214794,37
78,3,121.4269343,31.22042321,121.422562,31.220001,31
79,3,121.4269343,31.22042321,121.418991,31.214132,48
80,3,121.4269343,31.22042321,121.429474,31.228786,19
81,3,121.4269343,31.22042321,121.436821,31.206543,34
