Unnamed: 0,Site_id,Lng_site,Lat_site,Lng_spot,Lat_spot,Num,kcenter
1,1,121.486181,31.270203,121.491043,31.279089,90,1
2,1,121.486181,31.270203,121.49292,31.266943,19,1
3,1,121.486181,31.270203,121.486732,31.273441,93,1
4,1,121.486181,31.270203,121.487427,31.270247,89,1
5,1,121.486181,31.270203,121.492989,31.272285,77,1
6,1,121.486181,31.270203,121.480919,31.267042,8,1
7,1,121.486181,31.270203,121.490929,31.273355,96,1
8,1,121.486181,31.270203,121.487686,31.267748,78,1
9,1,121.486181,31.270203,121.488106,31.27755,69,1
10,1,121.486181,31.270203,121.490814,31.267244,57,1
11,1,121.486181,31.270203,121.493767,31.26959,52,1
12,2,121.460203998,31.2718521275,121.457069,31.2645,83,1
13,2,121.460203998,31.2718521275,121.458504,31.287094,36,1
14,2,121.460203998,31.2718521275,121.452217,31.289906,18,1
15,2,121.460203998,31.2718521275,121.461082,31.276169,52,1
16,2,121.460203998,31.2718521275,121.44783,31.262983,33,1
17,2,121.460203998,31.2718521275,121.462212,31.257822,54,1
18,2,121.460203998,31.2718521275,121.447327,31.283365,40,1
19,2,121.460203998,31.2718521275,121.448051,31.273638,72,1
20,2,121.460203998,31.2718521275,121.463959,31.274456,54,1
21,2,121.460203998,31.2718521275,121.456795,31.279455,69,1
22,2,121.460203998,31.2718521275,121.453857,31.271656,80,1
23,2,121.460203998,31.2718521275,121.4562,31.255991,86,1
24,2,121.460203998,31.2718521275,121.463249,31.27964,56,1
25,2,121.460203998,31.2718521275,121.44706,31.26651,72,1
26,2,121.460203998,31.2718521275,121.46685,31.280375,62,1
27,2,121.460203998,31.2718521275,121.464561,31.269255,51,1
28,2,121.460203998,31.2718521275,121.442017,31.282589,43,1
29,2,121.460203998,31.2718521275,121.452049,31.266003,72,1
30,2,121.460203998,31.2718521275,121.460426,31.264576,75,1
31,2,121.460203998,31.2718521275,121.452629,31.280823,86,1
32,2,121.460203998,31.2718521275,121.456337,31.294453,15,1
33,2,121.460203998,31.2718521275,121.452759,31.277855,41,1
34,2,121.460203998,31.2718521275,121.454826,31.260616,50,1
35,2,121.460203998,31.2718521275,121.449608,31.270027,39,1
36,2,121.460203998,31.2718521275,121.458755,31.266987,85,1
37,2,121.460203998,31.2718521275,121.46331,31.266544,82,1
38,2,121.460203998,31.2718521275,121.464897,31.264204,71,1
39,2,121.460203998,31.2718521275,121.456299,31.273598,73,1
40,2,121.460203998,31.2718521275,121.445572,31.27182,69,1
41,2,121.460203998,31.2718521275,121.459114,31.290461,20,1
42,2,121.460203998,31.2718521275,121.464836,31.271999,73,1
43,2,121.460203998,31.2718521275,121.457878,31.259399,73,1
44,2,121.460203998,31.2718521275,121.454674,31.289436,66,1
45,2,121.460203998,31.2718521275,121.461304,31.268957,72,1
46,2,121.460203998,31.2718521275,121.452965,31.274469,70,1
47,2,121.460203998,31.2718521275,121.454567,31.253893,31,1
48,2,121.460203998,31.2718521275,121.460526,31.2591,37,1
49,2,121.460203998,31.2718521275,121.467056,31.287855,39,1
50,2,121.460203998,31.2718521275,121.446831,31.289495,75,1
51,2,121.460203998,31.2718521275,121.451286,31.283789,37,1
52,2,121.460203998,31.2718521275,121.462845,31.286364,26,1
53,2,121.460203998,31.2718521275,121.453003,31.268694,66,1
54,2,121.460203998,31.2718521275,121.451813,31.259575,55,1
55,2,121.460203998,31.2718521275,121.467033,31.283693,33,1
56,2,121.460203998,31.2718521275,121.450127,31.261053,42,1
57,2,121.460203998,31.2718521275,121.459694,31.283478,32,1
58,2,121.460203998,31.2718521275,121.45919,31.272093,54,1
59,2,121.460203998,31.2718521275,121.456482,31.280043,92,1
60,2,121.460203998,31.2718521275,121.450348,31.263689,45,1
61,2,121.460203998,31.2718521275,121.447098,31.286261,53,1
62,2,121.460203998,31.2718521275,121.45607,31.267874,82,1
63,2,121.460203998,31.2718521275,121.452202,31.287878,75,1
64,2,121.460203998,31.2718521275,121.448143,31.280117,33,1
65,2,121.460203998,31.2718521275,121.450287,31.274517,67,1
66,2,121.460203998,31.2718521275,121.449989,31.283613,62,1
67,2,121.460203998,31.2718521275,121.457733,31.282797,52,1
68,2,121.460203998,31.2718521275,121.455063,31.258373,74,1
69,2,121.460203998,31.2718521275,121.462112,31.273365,84,1
70,2,121.460203998,31.2718521275,121.459251,31.280127,74,1
71,2,121.460203998,31.2718521275,121.456291,31.253181,40,1
72,2,121.460203998,31.2718521275,121.461098,31.261753,49,1
73,2,121.460203998,31.2718521275,121.442924,31.272268,50,1
74,2,121.460203998,31.2718521275,121.445953,31.283606,32,1
75,2,121.460203998,31.2718521275,121.465134,31.277716,77,1
76,2,121.460203998,31.2718521275,121.443031,31.280746,80,1
77,2,121.460203998,31.2718521275,121.458717,31.277157,80,1
78,2,121.460203998,31.2718521275,121.458984,31.255791,88,1
79,3,121.426934331,31.2204232142,121.428871,31.213623,58,1
80,3,121.426934331,31.2204232142,121.444115,31.216589,75,1
81,3,121.426934331,31.2204232142,121.429886,31.224949,94,1
