Order_id,Spot_id,Site_id,Num,Lng_site,Lat_site,Lng_spot,Lat_spot
F0001,B0214,A001,21,121.486181,31.270203,121.481796,31.268236
F0002,B0288,A001,39,121.486181,31.270203,121.486732,31.27483
F0003,B0587,A001,55,121.486181,31.270203,121.49292,31.266943
F0004,B2027,A001,61,121.486181,31.270203,121.483459,31.26614
F0005,B2946,A001,61,121.486181,31.270203,121.489265,31.26754
F0006,B3858,A001,51,121.486181,31.270203,121.49192,31.279324
F0007,B4207,A001,56,121.486181,31.270203,121.48838,31.271433
F0008,B4713,A001,53,121.486181,31.270203,121.493477,31.270109
F0009,B5453,A001,49,121.486181,31.270203,121.485977,31.270231
F0010,B7888,A001,30,121.486181,31.270203,121.488586,31.276142
F0011,B8121,A001,58,121.486181,31.270203,121.491196,31.274849
F0012,B0005,A002,85,121.460204,31.27185213,121.456787,31.280083
F0013,B0242,A002,60,121.460204,31.27185213,121.45462,31.257767
F0014,B0412,A002,85,121.460204,31.27185213,121.462753,31.273914
F0015,B0449,A002,41,121.460204,31.27185213,121.450127,31.265793
F0016,B0729,A002,53,121.460204,31.27185213,121.452927,31.274803
F0017,B0780,A002,47,121.460204,31.27185213,121.45649,31.266851
F0018,B0816,A002,94,121.460204,31.27185213,121.446259,31.283504
F0019,B1055,A002,23,121.460204,31.27185213,121.460243,31.261429
F0020,B1160,A002,21,121.460204,31.27185213,121.458504,31.287094
F0021,B1731,A002,24,121.460204,31.27185213,121.466309,31.284227
F0022,B1753,A002,65,121.460204,31.27185213,121.449051,31.274628
F0023,B2286,A002,38,121.460204,31.27185213,121.456161,31.260815
F0024,B2323,A002,61,121.460204,31.27185213,121.452614,31.288412
F0025,B2343,A002,23,121.460204,31.27185213,121.456703,31.273924
F0026,B2455,A002,59,121.460204,31.27185213,121.465096,31.27808
F0027,B2649,A002,45,121.460204,31.27185213,121.461418,31.265522
F0028,B3069,A002,45,121.460204,31.27185213,121.452637,31.269222
F0029,B3086,A002,72,121.460204,31.27185213,121.446693,31.266584
F0030,B3366,A002,32,121.460204,31.27185213,121.454247,31.254255
F0031,B3377,A002,35,121.460204,31.27185213,121.452988,31.271837
F0032,B3387,A002,54,121.460204,31.27185213,121.45359,31.28076
F0033,B3478,A002,40,121.460204,31.27185213,121.455261,31.291147
F0034,B3514,A002,53,121.460204,31.27185213,121.462799,31.258307
F0035,B3837,A002,56,121.460204,31.27185213,121.456985,31.264601
F0036,B4140,A002,54,121.460204,31.27185213,121.450302,31.283005
F0037,B4228,A002,36,121.460204,31.27185213,121.456299,31.271133
F0038,B4331,A002,53,121.460204,31.27185213,121.456947,31.25605
F0039,B4379,A002,23,121.460204,31.27185213,121.442993,31.272783
F0040,B4428,A002,44,121.460204,31.27185213,121.459923,31.272268
F0041,B4535,A002,39,121.460204,31.27185213,121.463379,31.282124
F0042,B4775,A002,59,121.460204,31.27185213,121.46286,31.269171
F0043,B4871,A002,38,121.460204,31.27185213,121.458481,31.256781
F0044,B5191,A002,78,121.460204,31.27185213,121.449989,31.26959
F0045,B5311,A002,31,121.460204,31.27185213,121.457039,31.282808
F0046,B5650,A002,40,121.460204,31.27185213,121.449379,31.260441
F0047,B6083,A002,56,121.460204,31.27185213,121.447464,31.271658
F0048,B6308,A002,21,121.460204,31.27185213,121.442017,31.282589
F0049,B6429,A002,27,121.460204,31.27185213,121.44873,31.279772
F0050,B6573,A002,34,121.460204,31.27185213,121.462357,31.286198
F0051,B6792,A002,20,121.460204,31.27185213,121.443771,31.28134
F0052,B6824,A002,40,121.460204,31.27185213,121.457878,31.263388
F0053,B6895,A002,44,121.460204,31.27185213,121.464775,31.263395
F0054,B7087,A002,17,121.460204,31.27185213,121.463478,31.261356
F0055,B7107,A002,30,121.460204,31.27185213,121.459961,31.279312
F0056,B7245,A002,69,121.460204,31.27185213,121.458107,31.259287
F0057,B7299,A002,46,121.460204,31.27185213,121.454178,31.260393
F0058,B7319,A002,27,121.460204,31.27185213,121.454399,31.277748
F0059,B7347,A002,38,121.460204,31.27185213,121.444351,31.270975
F0060,B7377,A002,41,121.460204,31.27185213,121.459511,31.282406
F0061,B7593,A002,64,121.460204,31.27185213,121.451134,31.257751
F0062,B7726,A002,42,121.460204,31.27185213,121.445976,31.28784
F0063,B7926,A002,18,121.460204,31.27185213,121.459976,31.289139
F0064,B8262,A002,18,121.460204,31.27185213,121.467812,31.287186
F0065,B8418,A002,21,121.460204,31.27185213,121.450874,31.279053
