0,0,0,0,0,0
647,1,0,0,22,8710
647,1,0,0,53,8693
647,1,0,0,40,8689
647,1,0,0,2,8705
647,1,0,0,17,8707
647,24,10,29,-22,8710
647,7,42,69,-53,8693
647,3,75,99,-40,8689
647,19,131,140,-2,8705
647,21,151,168,-17,8707
647,1,194,194,39,8703
647,1,194,194,36,8701
647,1,194,194,29,8711
647,17,214,238,-39,8703
647,308,248,266,1,11694
647,15,277,300,-36,8701
647,414,314,322,-1,11694
647,236,330,337,1,11622
647,342,341,349,-1,11622
647,311,351,379,1,11697
647,297,383,384,1,11683
647,267,385,437,2,11653
647,403,438,446,-1,11683
647,417,456,464,-1,11697
647,373,472,481,-2,11653
647,25,486,507,-29,8711
647,1,523,523,52,8706
647,20,536,563,-52,8706
647,315,568,584,2,11701
647,291,590,591,1,11677
647,397,704,712,-1,11677
647,421,742,751,-2,11701
648,1,0,0,24,8702
648,1,0,0,11,8708
648,1,0,0,20,8700
648,1,0,0,77,8695
648,16,14,34,-24,8702
648,22,41,56,-11,8708
648,14,63,81,-20,8700
648,9,88,119,-77,8695
648,1,141,141,75,8709
648,1,141,141,10,8699
648,1,141,141,44,8694
648,23,144,175,-75,8709
648,13,205,219,-10,8699
648,262,227,230,1,11648
648,368,231,239,-1,11648
648,222,240,295,1,11608
648,248,295,303,1,11634
648,229,303,312,5,11615
648,8,328,353,-44,8694
648,328,371,379,-1,11608
648,335,380,392,-5,11615
648,354,392,400,-1,11634
648,300,404,421,8,11686
648,301,421,468,6,11687
648,255,470,471,1,11641
648,361,472,480,-1,11641
648,407,482,494,-6,11687
648,406,497,510,-8,11686
648,247,511,526,1,11633
648,246,526,538,2,11632
648,352,539,548,-2,11632
648,353,551,559,-1,11633
648,309,564,568,1,11695
648,223,574,576,1,11609
648,329,583,591,-1,11609
648,415,594,602,-1,11695
648,283,608,617,1,11669
648,389,791,799,-1,11669
649,1,0,0,8,8697
649,1,0,0,41,8696
649,1,0,0,43,8691
649,1,0,0,21,8704
649,1,0,0,7,8690
649,11,8,21,-8,8697
649,213,48,220,2,11599
649,10,235,259,-41,8696
649,319,275,284,-2,11599
649,271,289,307,1,11657
649,5,315,340,-43,8691
649,18,347,366,-21,8704
649,4,369,382,-7,8690
649,377,397,405,-1,11657
649,1,428,428,71,8692
649,1,428,428,4,8698
649,6,431,461,-71,8692
649,12,469,480,-4,8698
649,305,501,538,2,11691
649,306,539,545,1,11692
649,412,549,557,-1,11692
649,411,557,566,-2,11691
649,307,570,571,3,11693
649,413,575,585,-3,11693
649,227,591,598,1,11613
649,234,598,605,2,11620
649,217,605,617,1,11603
649,221,617,623,1,11607
649,327,624,632,-1,11607
649,333,635,643,-1,11613
649,323,647,655,-1,11603
649,340,658,667,-2,11620
650,2,0,0,43,2637
650,2,0,0,3,2602
650,2,0,0,4,2611
650,2,0,0,27,2536
650,2,0,0,8,2567
650,2,0,0,12,2535
650,2,0,0,21,2623
650,159,9,34,-43,2637
650,124,52,62,-3,2602
650,133,70,81,-4,2611
650,58,105,126,-27,2536
650,89,138,151,-8,2567
650,57,170,185,-12,2535
650,257,231,234,1,11643
650,245,234,236,3,11631
650,218,236,256,2,11604
650,324,257,266,-2,11604
650,351,267,277,-3,11631
650,230,278,281,1,11616
650,363,283,291,-1,11643
650,336,304,312,-1,11616
650,145,368,387,-21,2623
650,298,441,454,6,11684
650,404,459,471,-6,11684
650,266,477,485,1,11652
650,372,617,625,-1,11652
651,2,0,0,35,2580
651,2,0,0,22,2545
651,2,0,0,6,2658
651,2,0,0,11,2595
651,2,0,0,3,2569
651,2,0,0,13,2615
651,2,0,0,4,2636
651,2,0,0,5,2522
651,2,0,0,4,2590
651,2,0,0,2,2540
651,102,25,48,-35,2580
651,67,51,70,-22,2545
651,180,87,99,-6,2658
651,117,103,118,-11,2595
