,Shop_id,shop_class,Lng_shop,Lat_shop,Lng_spot,Lat_spot,Num,start_time,end_time
1,1,67,121.16359,31.29408,121.21727,31.28618,1,216,306
2,2,116,121.18938,31.04398,121.253571,31.044447,1,312,402
3,60,116,121.21514,31.04986,121.211555,31.057364,2,294,384
4,60,116,121.21514,31.04986,121.211555,31.057364,2,441,531
5,60,116,121.21514,31.04986,121.228935,31.04467,3,225,315
6,60,116,121.21514,31.04986,121.228935,31.04467,1,226,316
7,60,116,121.21514,31.04986,121.228935,31.04467,1,246,336
8,60,116,121.21514,31.04986,121.220474,31.050325,2,364,454
9,60,116,121.21514,31.04986,121.220474,31.050325,1,478,568
10,60,116,121.21514,31.04986,121.220474,31.050325,2,564,654
11,60,116,121.21514,31.04986,121.220474,31.050325,1,605,695
12,60,116,121.21514,31.04986,121.204178,31.050442,1,551,641
13,60,116,121.21514,31.04986,121.217941,31.050713,1,223,313
14,60,116,121.21514,31.04986,121.217941,31.050713,3,252,342
15,60,116,121.21514,31.04986,121.217941,31.050713,1,286,376
16,60,116,121.21514,31.04986,121.215096,31.041361,1,398,488
17,60,116,121.21514,31.04986,121.215446,31.051119,1,245,335
18,60,116,121.21514,31.04986,121.215446,31.051119,2,289,379
19,60,116,121.21514,31.04986,121.215446,31.051119,1,620,710
20,60,116,121.21514,31.04986,121.224556,31.055307,1,364,454
21,61,116,121.21523,31.05095,121.209389,31.050249,3,385,475
22,61,116,121.21523,31.05095,121.217018,31.049732,2,241,331
23,61,116,121.21523,31.05095,121.217018,31.049732,2,621,711
24,61,116,121.21523,31.05095,121.218231,31.046228,4,612,702
25,61,116,121.21523,31.05095,121.202522,31.050394,4,339,429
26,61,116,121.21523,31.05095,121.214355,31.050442,2,308,398
27,61,116,121.21523,31.05095,121.228935,31.04467,2,230,320
28,61,116,121.21523,31.05095,121.228935,31.04467,3,268,358
29,61,116,121.21523,31.05095,121.220474,31.050325,5,601,691
30,61,116,121.21523,31.05095,121.204178,31.050442,4,627,717
31,13,116,121.19773,31.04975,121.197113,31.054916,1,212,302
32,61,116,121.21523,31.05095,121.263275,31.017134,2,351,441
33,62,116,121.21701,31.04957,121.209389,31.050249,1,306,396
34,62,116,121.21701,31.04957,121.209389,31.050249,2,567,657
35,62,116,121.21701,31.04957,121.209389,31.050249,2,613,703
36,62,116,121.21701,31.04957,121.217018,31.049732,3,254,344
