Order_id,Spot_id,Site_id,Num,Lng_site,Lat_site,Lng_spot,Lat_spot
F0001,B0008,A001,90,121.486181,31.270203,121.491043,31.279089
F0002,B0402,A001,19,121.486181,31.270203,121.49292,31.266943
F0003,B0753,A001,93,121.486181,31.270203,121.486732,31.273441
F0004,B2822,A001,89,121.486181,31.270203,121.487427,31.270247
F0005,B3889,A001,77,121.486181,31.270203,121.492989,31.272285
F0006,B4505,A001,8,121.486181,31.270203,121.480919,31.267042
F0007,B5403,A001,96,121.486181,31.270203,121.490929,31.273355
F0008,B6721,A001,78,121.486181,31.270203,121.487686,31.267748
F0009,B7888,A001,69,121.486181,31.270203,121.488106,31.27755
F0010,B8015,A001,57,121.486181,31.270203,121.490814,31.267244
F0011,B8063,A001,52,121.486181,31.270203,121.493767,31.26959
F0012,B0202,A002,83,121.460203998,31.2718521275,121.457069,31.2645
F0013,B0420,A002,36,121.460203998,31.2718521275,121.458504,31.287094
F0014,B0531,A002,18,121.460203998,31.2718521275,121.452217,31.289906
F0015,B0574,A002,52,121.460203998,31.2718521275,121.461082,31.276169
F0016,B0723,A002,33,121.460203998,31.2718521275,121.44783,31.262983
F0017,B0866,A002,54,121.460203998,31.2718521275,121.462212,31.257822
F0018,B1006,A002,40,121.460203998,31.2718521275,121.447327,31.283365
F0019,B1017,A002,72,121.460203998,31.2718521275,121.448051,31.273638
F0020,B1348,A002,54,121.460203998,31.2718521275,121.463959,31.274456
F0021,B1362,A002,69,121.460203998,31.2718521275,121.456795,31.279455
F0022,B1550,A002,80,121.460203998,31.2718521275,121.453857,31.271656
F0023,B1848,A002,86,121.460203998,31.2718521275,121.4562,31.255991
F0024,B2004,A002,56,121.460203998,31.2718521275,121.463249,31.27964
F0025,B2015,A002,72,121.460203998,31.2718521275,121.44706,31.26651
F0026,B2195,A002,62,121.460203998,31.2718521275,121.46685,31.280375
F0027,B2320,A002,51,121.460203998,31.2718521275,121.464561,31.269255
F0028,B2336,A002,43,121.460203998,31.2718521275,121.442017,31.282589
